epoch,shortterm,midterm,longterm
1619933499.241,3.400000,3.450000,3.380000
1619933514.241,3.310000,3.430000,3.380000
1619933529.241,3.390000,3.440000,3.380000
1619933544.241,3.810000,3.540000,3.410000
1619933559.241,3.630000,3.510000,3.400000
1619933574.241,3.490000,3.480000,3.400000
1619933589.241,3.380000,3.460000,3.390000
1619933604.241,3.450000,3.470000,3.390000
1619933619.241,3.410000,3.460000,3.390000
1619933634.241,3.550000,3.490000,3.400000
1619933649.241,3.590000,3.500000,3.410000
1619933664.241,3.460000,3.470000,3.400000
1619933679.241,3.360000,3.450000,3.390000
1619933694.241,3.420000,3.460000,3.400000
1619933709.241,3.330000,3.440000,3.390000
1619933724.241,3.340000,3.430000,3.390000
1619933739.241,3.420000,3.440000,3.390000
1619933754.241,3.320000,3.420000,3.380000
1619933769.241,3.330000,3.420000,3.380000
1619933784.241,3.330000,3.410000,3.380000
1619933799.241,3.340000,3.410000,3.380000
1619933814.241,3.260000,3.390000,3.370000
1619933829.241,3.200000,3.370000,3.360000
1619933844.241,3.160000,3.350000,3.360000
1619933859.241,3.260000,3.360000,3.360000
1619933874.241,3.210000,3.350000,3.360000
1619933889.241,3.360000,3.380000,3.370000
1619933904.241,3.420000,3.390000,3.370000
1619933919.241,3.400000,3.390000,3.370000
1619933934.241,3.310000,3.370000,3.360000
1619933949.241,3.240000,3.350000,3.360000
1619933964.241,3.190000,3.330000,3.350000
1619933979.241,3.210000,3.330000,3.350000
1619933994.241,3.160000,3.310000,3.350000
1619934009.241,3.130000,3.300000,3.340000
1619934024.241,3.100000,3.280000,3.330000
1619934039.241,3.220000,3.300000,3.340000
1619934054.241,3.170000,3.290000,3.330000
1619934069.241,3.210000,3.290000,3.330000
1619934084.241,3.230000,3.290000,3.330000
1619934099.241,3.180000,3.280000,3.330000
1619934114.241,3.210000,3.280000,3.330000
1619934129.241,3.160000,3.260000,3.320000
1619934144.241,3.120000,3.250000,3.320000
1619934159.241,3.180000,3.250000,3.320000
1619934174.241,3.140000,3.240000,3.310000
1619934189.241,3.170000,3.240000,3.310000
1619934204.241,3.290000,3.270000,3.320000
1619934219.241,3.300000,3.270000,3.320000
1619934234.241,3.230000,3.250000,3.310000
1619934249.241,3.180000,3.240000,3.300000
1619934264.241,3.210000,3.250000,3.300000
1619934279.241,3.230000,3.250000,3.300000
1619934294.241,3.180000,3.240000,3.300000
1619934309.241,3.210000,3.240000,3.300000
1619934324.241,3.250000,3.250000,3.300000
